id,device_id,ts,activity,pp1,pp2,pp3,grassIndex,recipient,sender,time,treeIndex,weedIndex
60,-1,2022-06-09T16:36:08,,webclient_1654785335736,,,53.0,"allergy_old_pollen_data","webclient_1654785335736",1.65250803E9,305.0,22.0
61,-1,2022-06-09T16:36:09,,webclient_1654785335736,,,58.0,"allergy_old_pollen_data","webclient_1654785335736",1.65251162E9,277.0,30.0
62,-1,2022-06-09T16:36:09,,webclient_1654785335736,,,55.0,"allergy_old_pollen_data","webclient_1654785335736",1.6525152E9,277.0,27.0
63,-1,2022-06-09T16:36:10,,webclient_1654785335736,,,59.0,"allergy_old_pollen_data","webclient_1654785335736",1.65251878E9,281.0,31.0
64,-1,2022-06-09T16:36:10,,webclient_1654785335736,,,47.0,"allergy_old_pollen_data","webclient_1654785335736",1.65252237E9,266.0,19.0
65,-1,2022-06-09T16:36:11,,webclient_1654785335736,,,68.0,"allergy_old_pollen_data","webclient_1654785335736",1.65252595E9,294.0,11.0
66,-1,2022-06-09T16:36:11,,webclient_1654785335736,,,69.0,"allergy_old_pollen_data","webclient_1654785335736",1.65252966E9,297.0,12.0
67,-1,2022-06-09T16:36:12,,webclient_1654785335736,,,47.0,"allergy_old_pollen_data","webclient_1654785335736",1.65253325E9,268.0,19.0
68,-1,2022-06-09T16:36:12,,webclient_1654785335736,,,47.0,"allergy_old_pollen_data","webclient_1654785335736",1.65253683E9,223.0,25.0
69,-1,2022-06-09T16:36:13,,webclient_1654785335736,,,52.0,"allergy_old_pollen_data","webclient_1654785335736",1.65254042E9,264.0,26.0
70,-1,2022-06-09T16:36:13,,webclient_1654785335736,,,44.0,"allergy_old_pollen_data","webclient_1654785335736",1.652544E9,212.0,23.0
71,-1,2022-06-09T16:36:14,,webclient_1654785335736,,,37.0,"allergy_old_pollen_data","webclient_1654785335736",1.65254758E9,211.0,15.0
72,-1,2022-06-09T16:36:14,,webclient_1654785335736,,,58.0,"allergy_old_pollen_data","webclient_1654785335736",1.65255117E9,252.0,10.0
73,-1,2022-06-09T16:36:15,,webclient_1654785335736,,,52.0,"allergy_old_pollen_data","webclient_1654785335736",1.65255475E9,224.0,9.0
74,-1,2022-06-09T16:36:15,,webclient_1654785335736,,,45.0,"allergy_old_pollen_data","webclient_1654785335736",1.65255834E9,257.0,18.0
75,-1,2022-06-09T16:36:16,,webclient_1654785335736,,,57.0,"allergy_old_pollen_data","webclient_1654785335736",1.65256205E9,274.0,30.0
76,-1,2022-06-09T16:36:16,,webclient_1654785335736,,,63.0,"allergy_old_pollen_data","webclient_1654785335736",1.65256563E9,319.0,30.0
77,-1,2022-06-09T16:36:17,,webclient_1654785335736,,,68.0,"allergy_old_pollen_data","webclient_1654785335736",1.65256922E9,321.0,36.0
78,-1,2022-06-09T16:36:17,,webclient_1654785335736,,,48.0,"allergy_old_pollen_data","webclient_1654785335736",1.6525728E9,241.0,24.0
79,-1,2022-06-09T16:36:18,,webclient_1654785335736,,,51.0,"allergy_old_pollen_data","webclient_1654785335736",1.65257638E9,244.0,27.0
80,-1,2022-06-09T16:36:18,,webclient_1654785335736,,,41.0,"allergy_old_pollen_data","webclient_1654785335736",1.65257997E9,237.0,17.0
81,-1,2022-06-09T16:36:19,,webclient_1654785335736,,,58.0,"allergy_old_pollen_data","webclient_1654785335736",1.65258355E9,251.0,10.0
